"Supercluster"	"Number of reads"	"Automatic_annotation"	"Similarity_hits"	"TAREAN_annotation"	"Clusters"
30	1978	"satellite"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 1979  | 1          |         
 |--organelle                                   | 1     | 0.00051    |         
 |   '--plastid                                 | 1     | 0.00051    |         
 '--repeat                                      | 1978  | 1          |         
     '--satellite                               | 1978  | 1          |         "	"73 - Putative satellites (high confidence)"	"73"
31	1973	"Athila"	"                                                | nhits | proportion |       features
-------------------------------------------------------------------------------------
All                                             | 88    | 0.045      |               
 |--organelle                                   | 1     | 0.00051    |               
 |   '--plastid                                 | 1     | 0.00051    |               
 '--repeat                                      | 87    | 0.044      |               
     '--mobile_element                          | 87    | 0.044      |               
         '--Class_I                             | 87    | 0.044      |               
             '--LTR                             | 87    | 0.044      |               
                 '--Ty3_gypsy                   | 87    | 0.044      |               
                     '--non-chromovirus         | 87    | 0.044      |               
                         '--OTA                 | 87    | 0.044      |               
                             |--Athila          | 81    | 0.041      | 81 (Ty3-GAG), 
                             '--Tat             | 6     | 0.003      |               
                                 |--Ogre        | 1     | 0.00051    | 1 (Ty3-GAG),  
                                 '--Retand      | 5     | 0.0025     | 5 (Ty3-GAG),  "	NA	"74"
32	1967	"LINE"	"                                                | nhits | proportion |        features
--------------------------------------------------------------------------------------
All                                             | 302   | 0.15       |                
 '--repeat                                      | 302   | 0.15       |                
     '--mobile_element                          | 302   | 0.15       |                
         '--Class_I                             | 302   | 0.15       |                
             |--LTR                             | 1     | 0.00051    |                
             |   '--Ty1_copia                   | 1     | 0.00051    |                
             |       '--Tork                    | 1     | 0.00051    | 1 (Ty1-RT),    
             '--LINE                            | 301   | 0.15       | 301 (LINE-RT), "	NA	"75"
33	1891	"Ale"	"                                                | nhits | proportion |                                                                features
----------------------------------------------------------------------------------------------------------------------------------------------
All                                             | 424   | 0.22       |                                                                        
 '--repeat                                      | 424   | 0.22       |                                                                        
     '--mobile_element                          | 424   | 0.22       |                                                                        
         '--Class_I                             | 424   | 0.22       |                                                                        
             '--LTR                             | 424   | 0.22       | LTR/PBS                                                                
                 '--Ty1_copia                   | 424   | 0.22       |                                                                        
                     |--Ale                     | 411   | 0.22       | 51 (Ty1-GAG), 121 (Ty1-INT), 34 (Ty1-PROT), 81 (Ty1-RH), 124 (Ty1-RT), 
                     |--Alesia                  | 1     | 0.00053    | 1 (Ty1-RT),                                                            
                     |--Ivana                   | 10    | 0.0053     | 1 (Ty1-INT), 9 (Ty1-RH),                                               
                     |--SIRE                    | 1     | 0.00053    | 1 (Ty1-RT),                                                            
                     '--Tork                    | 1     | 0.00053    | 1 (Ty1-INT),                                                           "	NA	"76"
34	1825	"NA"	"                                                | nhits | proportion |          features
----------------------------------------------------------------------------------------
All                                             | 26    | 0.014      |                  
 |--organelle                                   | 2     | 0.0011     |                  
 |   '--plastid                                 | 2     | 0.0011     |                  
 '--repeat                                      | 24    | 0.013      |                  
     '--mobile_element                          | 24    | 0.013      |                  
         '--Class_II                            | 24    | 0.013      |                  
             '--Subclass_1                      | 24    | 0.013      |                  
                 '--TIR                         | 24    | 0.013      |                  
                     '--MuDR_Mutator            | 24    | 0.013      | 24 (MuDR-TPase), "	NA	"140,85"
35	1683	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 4     | 0.0024     |         
 '--organelle                                   | 4     | 0.0024     |         
     |--plastid                                 | 2     | 0.0012     |         
     '--mitochondria                            | 2     | 0.0012     |         "	NA	"81"
36	1626	"Tork"	"                                                | nhits | proportion |                                                              features
--------------------------------------------------------------------------------------------------------------------------------------------
All                                             | 152   | 0.094      |                                                                      
 '--repeat                                      | 152   | 0.094      |                                                                      
     '--mobile_element                          | 152   | 0.094      |                                                                      
         '--Class_I                             | 152   | 0.094      |                                                                      
             '--LTR                             | 152   | 0.094      | LTR/PBS                                                              
                 '--Ty1_copia                   | 152   | 0.094      |                                                                      
                     '--Tork                    | 152   | 0.094      | 21 (Ty1-GAG), 23 (Ty1-INT), 50 (Ty1-PROT), 34 (Ty1-RH), 24 (Ty1-RT), "	NA	"366,84"
37	1459	"TAR"	"                                                | nhits | proportion |                   features
-------------------------------------------------------------------------------------------------
All                                             | 147   | 0.1        |                           
 '--repeat                                      | 147   | 0.1        |                           
     '--mobile_element                          | 147   | 0.1        |                           
         '--Class_I                             | 147   | 0.1        |                           
             '--LTR                             | 147   | 0.1        |                           
                 '--Ty1_copia                   | 147   | 0.1        |                           
                     |--Ikeros                  | 1     | 0.00068    | 1 (Ty1-RT),               
                     '--TAR                     | 146   | 0.1        | 66 (Ty1-RH), 80 (Ty1-RT), "	NA	"86"
38	1415	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 47    | 0.033      |         
 '--organelle                                   | 47    | 0.033      |         
     |--plastid                                 | 2     | 0.0014     |         
     '--mitochondria                            | 45    | 0.032      |         "	NA	"87"
39	1401	"repeat"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 112   | 0.08       |         
 '--repeat                                      | 112   | 0.08       |         
     |--rDNA                                    | 112   | 0.08       |         
     |   '--5S_rDNA                             | 112   | 0.08       |         
     '--mobile_element                          | 0     | 0          |         
         '--Class_I                             | 0     | 0          |         
             '--LTR                             | 0     | 0          | LTR/PBS "	NA	"88"
40	1238	"NA"	"                                                | nhits | proportion |          features
----------------------------------------------------------------------------------------
All                                             | 2     | 0.0016     |                  
 |--organelle                                   | 1     | 0.00081    |                  
 |   '--plastid                                 | 1     | 0.00081    |                  
 '--repeat                                      | 1     | 0.00081    |                  
     '--mobile_element                          | 1     | 0.00081    |                  
         '--Class_II                            | 1     | 0.00081    |                  
             '--Subclass_1                      | 1     | 0.00081    |                  
                 '--TIR                         | 1     | 0.00081    |                  
                     '--EnSpm_CACTA             | 1     | 0.00081    | 1 (CACTA-TPase), "	NA	"89"
41	1227	"Tat"	"                                                | nhits | proportion |                     features
---------------------------------------------------------------------------------------------------
All                                             | 64    | 0.052      |                             
 '--repeat                                      | 64    | 0.052      |                             
     '--mobile_element                          | 64    | 0.052      |                             
         '--Class_I                             | 64    | 0.052      |                             
             '--LTR                             | 64    | 0.052      |                             
                 '--Ty3_gypsy                   | 64    | 0.052      |                             
                     '--non-chromovirus         | 64    | 0.052      |                             
                         '--OTA                 | 64    | 0.052      |                             
                             |--Athila          | 11    | 0.009      | 11 (Ty3-GAG),               
                             '--Tat             | 53    | 0.043      |                             
                                 '--Retand      | 53    | 0.043      | 44 (Ty3-GAG), 9 (Ty3-PROT), "	NA	"283,95,143"
42	1156	"Angela"	"                                                | nhits | proportion |       features
-------------------------------------------------------------------------------------
All                                             | 125   | 0.11       |               
 '--repeat                                      | 125   | 0.11       |               
     '--mobile_element                          | 125   | 0.11       |               
         '--Class_I                             | 125   | 0.11       |               
             '--LTR                             | 125   | 0.11       |               
                 '--Ty1_copia                   | 125   | 0.11       |               
                     '--Angela                  | 125   | 0.11       | 125 (Ty1-RH), "	NA	"90"
43	1116	"EnSpm_CACTA"	"                                                | nhits | proportion |            features
------------------------------------------------------------------------------------------
All                                             | 171   | 0.15       |                    
 '--repeat                                      | 171   | 0.15       |                    
     '--mobile_element                          | 171   | 0.15       |                    
         '--Class_II                            | 171   | 0.15       |                    
             '--Subclass_1                      | 171   | 0.15       |                    
                 '--TIR                         | 171   | 0.15       |                    
                     '--EnSpm_CACTA             | 171   | 0.15       | 171 (CACTA-TPase), "	NA	"158,171,373,132,127"
44	1016	"Helitron"	"                                                | nhits | proportion |                                  features
----------------------------------------------------------------------------------------------------------------
All                                             | 421   | 0.41       |                                          
 '--repeat                                      | 421   | 0.41       |                                          
     '--mobile_element                          | 421   | 0.41       |                                          
         '--Class_II                            | 421   | 0.41       |                                          
             '--Subclass_2                      | 421   | 0.41       |                                          
                 '--Helitron                    | 421   | 0.41       | 346 (Helitron-HEL1), 75 (Helitron-HEL2), "	NA	"91"
45	924	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"93"
46	921	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"94"
47	864	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"96"
48	815	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"97"
49	801	"SIRE"	"                                                | nhits | proportion |       features
-------------------------------------------------------------------------------------
All                                             | 58    | 0.072      |               
 '--repeat                                      | 58    | 0.072      |               
     '--mobile_element                          | 58    | 0.072      |               
         '--Class_I                             | 58    | 0.072      |               
             '--LTR                             | 58    | 0.072      | LTR/PBS       
                 '--Ty1_copia                   | 58    | 0.072      |               
                     |--Ivana                   | 1     | 0.0012     | 1 (Ty1-GAG),  
                     '--SIRE                    | 57    | 0.071      | 57 (Ty1-GAG), "	NA	"434,100"
50	765	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"98"
51	756	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"99"
52	739	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"101"
53	683	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 7     | 0.01       |         
 '--organelle                                   | 7     | 0.01       |         
     '--plastid                                 | 7     | 0.01       |         "	NA	"102"
54	667	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 1     | 0.0015     |         
 '--organelle                                   | 1     | 0.0015     |         
     '--plastid                                 | 1     | 0.0015     |         "	NA	"103"
55	662	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 1     | 0.0015     |         
 '--organelle                                   | 1     | 0.0015     |         
     '--plastid                                 | 1     | 0.0015     |         "	NA	"136,130"
56	659	"Ikeros"	"                                                | nhits | proportion |                                              features
----------------------------------------------------------------------------------------------------------------------------
All                                             | 194   | 0.29       |                                                      
 '--repeat                                      | 194   | 0.29       |                                                      
     '--mobile_element                          | 194   | 0.29       |                                                      
         '--Class_I                             | 194   | 0.29       |                                                      
             '--LTR                             | 194   | 0.29       |                                                      
                 '--Ty1_copia                   | 194   | 0.29       |                                                      
                     |--Ale                     | 2     | 0.003      | 2 (Ty1-RT),                                          
                     |--Angela                  | 8     | 0.012      | 3 (Ty1-INT), 5 (Ty1-RT),                             
                     |--Ikeros                  | 182   | 0.28       | 18 (Ty1-GAG), 88 (Ty1-INT), 8 (Ty1-RH), 68 (Ty1-RT), 
                     |--TAR                     | 1     | 0.0015     | 1 (Ty1-RT),                                          
                     '--Tork                    | 1     | 0.0015     | 1 (Ty1-RT),                                          "	NA	"104"
57	655	"Angela"	"                                                | nhits | proportion |                                    features
------------------------------------------------------------------------------------------------------------------
All                                             | 128   | 0.2        |                                            
 '--repeat                                      | 128   | 0.2        |                                            
     '--mobile_element                          | 128   | 0.2        |                                            
         '--Class_I                             | 128   | 0.2        |                                            
             '--LTR                             | 128   | 0.2        |                                            
                 '--Ty1_copia                   | 128   | 0.2        |                                            
                     |--Angela                  | 127   | 0.19       | 40 (Ty1-GAG), 29 (Ty1-INT), 58 (Ty1-PROT), 
                     '--Ikeros                  | 1     | 0.0015     | 1 (Ty1-INT),                               "	NA	"105"
58	650	"satellite"	"                                                | nhits | proportion |                     features
---------------------------------------------------------------------------------------------------
All                                             | 722   | 1.1        |                             
 '--repeat                                      | 722   | 1.1        |                             
     |--satellite                               | 650   | 1          |                             
     '--mobile_element                          | 72    | 0.11       |                             
         '--Class_I                             | 72    | 0.11       |                             
             '--LTR                             | 72    | 0.11       |                             
                 '--Ty1_copia                   | 72    | 0.11       |                             
                     |--Ale                     | 9     | 0.014      | 9 (Ty1-PROT),               
                     |--TAR                     | 9     | 0.014      | 9 (Ty1-PROT),               
                     '--Tork                    | 54    | 0.083      | 47 (Ty1-GAG), 7 (Ty1-PROT), "	"106 - Putative satellites (low confidence)"	"106"
59	640	"NA"	"                                                | nhits | proportion |       features
-------------------------------------------------------------------------------------
All                                             | 29    | 0.045      |               
 '--repeat                                      | 29    | 0.045      |               
     '--mobile_element                          | 29    | 0.045      |               
         '--Class_I                             | 29    | 0.045      |               
             '--LTR                             | 29    | 0.045      |               
                 '--Ty3_gypsy                   | 29    | 0.045      |               
                     '--non-chromovirus         | 29    | 0.045      |               
                         '--OTA                 | 29    | 0.045      |               
                             |--Athila          | 22    | 0.034      | 22 (Ty3-GAG), 
                             '--Tat             | 7     | 0.011      |               
                                 |--Ogre        | 5     | 0.0078     | 5 (Ty3-GAG),  
                                 '--Retand      | 2     | 0.0031     | 2 (Ty3-GAG),  "	NA	"144,122"
60	626	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"108"
61	610	"satellite"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 610   | 1          |         
 '--repeat                                      | 610   | 1          |         
     '--satellite                               | 610   | 1          |         "	"109 - Putative satellites (high confidence)"	"109"
62	604	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 1     | 0.0017     |         
 '--organelle                                   | 1     | 0.0017     |         
     '--plastid                                 | 1     | 0.0017     |         "	NA	"165,119"
63	581	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 3     | 0.0052     |         
 '--organelle                                   | 3     | 0.0052     |         
     '--plastid                                 | 3     | 0.0052     |         "	NA	"110"
64	574	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"111"
65	537	"NA"	"                                                | nhits | proportion |      features
------------------------------------------------------------------------------------
All                                             | 1     | 0.0019     |              
 '--repeat                                      | 1     | 0.0019     |              
     '--mobile_element                          | 1     | 0.0019     |              
         '--Class_I                             | 1     | 0.0019     |              
             '--LTR                             | 1     | 0.0019     |              
                 '--Ty3_gypsy                   | 1     | 0.0019     |              
                     '--chromovirus             | 1     | 0.0019     |              
                         '--Tekay               | 1     | 0.0019     | 1 (Ty3-GAG), "	NA	"112"
66	525	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"211,396,128"
67	511	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"113"
68	488	"NA"	"                                                | nhits | proportion |            features
------------------------------------------------------------------------------------------
All                                             | 7     | 0.014      |                    
 '--repeat                                      | 7     | 0.014      |                    
     '--mobile_element                          | 7     | 0.014      |                    
         '--Class_II                            | 7     | 0.014      |                    
             '--Subclass_2                      | 7     | 0.014      |                    
                 '--Helitron                    | 7     | 0.014      | 7 (Helitron-HEL2), "	NA	"259,793,126"
69	481	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"114"
70	448	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"115"
71	440	"NA"	"                                                | nhits | proportion |                                features
--------------------------------------------------------------------------------------------------------------
All                                             | 13    | 0.03       |                                        
 '--repeat                                      | 13    | 0.03       |                                        
     '--mobile_element                          | 13    | 0.03       |                                        
         '--Class_II                            | 13    | 0.03       |                                        
             '--Subclass_2                      | 13    | 0.03       |                                        
                 '--Helitron                    | 13    | 0.03       | 1 (Helitron-HEL1), 12 (Helitron-HEL2), "	NA	"116"
72	435	"LTR"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         
 '--repeat                                      | 0     | 0          |         
     '--mobile_element                          | 0     | 0          |         
         '--Class_I                             | 0     | 0          |         
             '--LTR                             | 0     | 0          | LTR/PBS "	NA	"117"
73	433	"satellite"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 434   | 1          |         
 |--organelle                                   | 1     | 0.0023     |         
 |   '--plastid                                 | 1     | 0.0023     |         
 '--repeat                                      | 433   | 1          |         
     '--satellite                               | 433   | 1          |         "	"118 - Putative satellites (high confidence)"	"118"
74	424	"NA"	"                                                | nhits | proportion |     features
-----------------------------------------------------------------------------------
All                                             | 7     | 0.016      |             
 '--repeat                                      | 7     | 0.016      |             
     '--mobile_element                          | 7     | 0.016      |             
         '--Class_I                             | 7     | 0.016      |             
             '--LTR                             | 7     | 0.016      |             
                 '--Ty1_copia                   | 7     | 0.016      |             
                     '--TAR                     | 7     | 0.016      | 7 (Ty1-RH), "	NA	"156,152"
75	411	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 1     | 0.0024     |         
 '--organelle                                   | 1     | 0.0024     |         
     '--plastid                                 | 1     | 0.0024     |         "	NA	"120"
76	394	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"121"
77	385	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"123"
78	379	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"124"
79	376	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"125"
80	339	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"133"
81	337	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"134"
82	328	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"135"
83	297	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"137"
84	284	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"234,162"
85	275	"repeat"	"                                                | nhits | proportion |      features
------------------------------------------------------------------------------------
All                                             | 332   | 1.2        |              
 '--repeat                                      | 332   | 1.2        |              
     |--satellite                               | 275   | 1          |              
     '--mobile_element                          | 57    | 0.21       |              
         '--Class_I                             | 57    | 0.21       |              
             '--LTR                             | 57    | 0.21       |              
                 '--Ty1_copia                   | 57    | 0.21       |              
                     |--Ale                     | 54    | 0.2        | 54 (Ty1-RH), 
                     |--Alesia                  | 2     | 0.0073     | 2 (Ty1-RH),  
                     '--Tork                    | 1     | 0.0036     | 1 (Ty1-RH),  "	"139 - Putative satellites (high confidence)"	"139"
86	269	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"523,149"
87	263	"MuDR_Mutator"	"                                                | nhits | proportion |          features
----------------------------------------------------------------------------------------
All                                             | 49    | 0.19       |                  
 '--repeat                                      | 49    | 0.19       |                  
     '--mobile_element                          | 49    | 0.19       |                  
         |--Class_I                             | 1     | 0.0038     |                  
         |   '--LTR                             | 1     | 0.0038     |                  
         |       '--Ty3_gypsy                   | 1     | 0.0038     |                  
         |           '--non-chromovirus         | 1     | 0.0038     |                  
         |               '--OTA                 | 1     | 0.0038     |                  
         |                   '--Tat             | 1     | 0.0038     |                  
         |                       '--Ogre        | 1     | 0.0038     | 1 (Ty3-RT),      
         '--Class_II                            | 48    | 0.18       |                  
             '--Subclass_1                      | 48    | 0.18       |                  
                 '--TIR                         | 48    | 0.18       |                  
                     '--MuDR_Mutator            | 48    | 0.18       | 48 (MuDR-TPase), "	NA	"204,191"
88	263	"Bianca"	"                                                | nhits | proportion |                   features
-------------------------------------------------------------------------------------------------
All                                             | 52    | 0.2        |                           
 '--repeat                                      | 52    | 0.2        |                           
     '--mobile_element                          | 52    | 0.2        |                           
         '--Class_I                             | 52    | 0.2        |                           
             '--LTR                             | 52    | 0.2        |                           
                 '--Ty1_copia                   | 52    | 0.2        |                           
                     '--Bianca                  | 52    | 0.2        | 1 (Ty1-INT), 51 (Ty1-RT), "	NA	"141"
89	257	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"323,354,197"
90	256	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"142"
91	252	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"227,187"
92	247	"SIRE"	"                                                | nhits | proportion |                                 features
---------------------------------------------------------------------------------------------------------------
All                                             | 37    | 0.15       |                                         
 '--repeat                                      | 37    | 0.15       |                                         
     '--mobile_element                          | 37    | 0.15       |                                         
         '--Class_I                             | 37    | 0.15       |                                         
             '--LTR                             | 37    | 0.15       |                                         
                 '--Ty1_copia                   | 37    | 0.15       |                                         
                     |--Ivana                   | 1     | 0.004      | 1 (Ty1-PROT),                           
                     '--SIRE                    | 36    | 0.15       | 2 (Ty1-INT), 29 (Ty1-PROT), 5 (Ty1-RH), "	NA	"145"
93	238	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"147"
94	233	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"148"
95	230	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"224,208"
96	227	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"150"
97	226	"satellite"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 226   | 1          |         
 '--repeat                                      | 226   | 1          |         
     '--satellite                               | 226   | 1          |         "	"151 - Putative satellites (high confidence)"	"151"
98	223	"satellite"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 223   | 1          |         
 '--repeat                                      | 223   | 1          |         
     '--satellite                               | 223   | 1          |         "	"153 - Putative satellites (high confidence)"	"153"
99	218	"satellite"	"                                                | nhits | proportion |     features
-----------------------------------------------------------------------------------
All                                             | 222   | 1          |             
 '--repeat                                      | 222   | 1          |             
     |--satellite                               | 218   | 1          |             
     '--mobile_element                          | 4     | 0.018      |             
         '--Class_I                             | 4     | 0.018      |             
             '--LTR                             | 4     | 0.018      |             
                 '--Ty1_copia                   | 4     | 0.018      |             
                     |--Ale                     | 1     | 0.0046     | 1 (Ty1-RT), 
                     |--Bryco                   | 1     | 0.0046     | 1 (Ty1-RT), 
                     |--Ivana                   | 1     | 0.0046     | 1 (Ty1-RT), 
                     '--Tork                    | 1     | 0.0046     | 1 (Ty1-RT), "	"154 - Putative satellites (low confidence)"	"154"
100	211	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"155"
101	196	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"157"
102	192	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"159"
103	189	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"160"
104	188	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"161"
105	185	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"163"
106	182	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"331,212"
107	177	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"166"
108	176	"Bianca"	"                                                | nhits | proportion |                      features
----------------------------------------------------------------------------------------------------
All                                             | 101   | 0.57       |                              
 '--repeat                                      | 101   | 0.57       |                              
     '--mobile_element                          | 101   | 0.57       |                              
         '--Class_I                             | 101   | 0.57       |                              
             '--LTR                             | 101   | 0.57       |                              
                 '--Ty1_copia                   | 101   | 0.57       |                              
                     '--Bianca                  | 101   | 0.57       | 85 (Ty1-INT), 16 (Ty1-PROT), "	NA	"167"
109	176	"Retand"	"                                                | nhits | proportion |       features
-------------------------------------------------------------------------------------
All                                             | 26    | 0.15       |               
 '--repeat                                      | 26    | 0.15       |               
     '--mobile_element                          | 26    | 0.15       |               
         '--Class_I                             | 26    | 0.15       |               
             '--LTR                             | 26    | 0.15       |               
                 '--Ty3_gypsy                   | 26    | 0.15       |               
                     '--non-chromovirus         | 26    | 0.15       |               
                         '--OTA                 | 26    | 0.15       |               
                             '--Tat             | 26    | 0.15       |               
                                 |--Ogre        | 2     | 0.011      | 2 (Ty3-INT),  
                                 '--Retand      | 24    | 0.14       | 24 (Ty3-INT), "	NA	"341,215"
110	173	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"168"
111	171	"Bianca"	"                                                | nhits | proportion |                   features
-------------------------------------------------------------------------------------------------
All                                             | 101   | 0.59       |                           
 '--repeat                                      | 101   | 0.59       |                           
     '--mobile_element                          | 101   | 0.59       |                           
         '--Class_I                             | 101   | 0.59       |                           
             '--LTR                             | 101   | 0.59       |                           
                 '--Ty1_copia                   | 101   | 0.59       |                           
                     '--Bianca                  | 101   | 0.59       | 21 (Ty1-RH), 80 (Ty1-RT), "	NA	"169"
112	170	"Bianca"	"                                                | nhits | proportion |      features
------------------------------------------------------------------------------------
All                                             | 30    | 0.18       |              
 '--repeat                                      | 30    | 0.18       |              
     '--mobile_element                          | 30    | 0.18       |              
         '--Class_I                             | 30    | 0.18       |              
             '--LTR                             | 30    | 0.18       |              
                 '--Ty1_copia                   | 30    | 0.18       |              
                     '--Bianca                  | 30    | 0.18       | 30 (Ty1-RH), "	NA	"170"
113	165	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"172"
114	165	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"173"
115	164	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"174"
116	162	"Class_I"	"                                                | nhits | proportion |       features
-------------------------------------------------------------------------------------
All                                             | 53    | 0.33       |               
 '--repeat                                      | 53    | 0.33       |               
     '--mobile_element                          | 53    | 0.33       |               
         '--Class_I                             | 53    | 0.33       |               
             |--LTR                             | 30    | 0.19       |               
             |   '--Ty3_gypsy                   | 30    | 0.19       |               
             |       '--chromovirus             | 30    | 0.19       |               
             |           |--Chlamyvir           | 5     | 0.031      | 5 (Ty3-RT),   
             |           |--Tcn1                | 3     | 0.018      | 3 (Ty3-RT),   
             |           |--chromo-outgroup     | 8     | 0.049      | 8 (Ty3-RT),   
             |           |--CRM                 | 8     | 0.049      | 8 (Ty3-RT),   
             |           |--Galadriel           | 1     | 0.0062     | 1 (Ty3-RT),   
             |           '--Reina               | 5     | 0.031      | 5 (Ty3-RT),   
             '--pararetrovirus                  | 23    | 0.14       | 23 (PARA-RT), "	NA	"175"
117	162	"satellite"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 162   | 1          |         
 '--repeat                                      | 162   | 1          |         
     '--satellite                               | 162   | 1          |         "	"176 - Putative satellites (high confidence)"	"176"
118	158	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"177"
119	156	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"178"
120	151	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"179"
